,Anzahl,Firma,Jahr,Lehrstelle,Ort
39,1,EvoBus (Schweiz) AG,2019,Bootfachwart/in EFZ,Kloten (ZH)
40,2,Scania Schweiz AG,2019,Buchhändler/in EFZ,Kloten (ZH)
41,1,Auto Lang AG,2019,Büchsenmacher/in EFZ,Kreuzlingen (TG)
42,1,General Dynamics European Land,2019,Bühnentänzer/in EFZ,Kreuzlingen (TG)
43,1,J. Windlin AG,2019,Bühnentänzer/in (Klassischer Tanz) EFZ,Kriens (LU)
44,1,Garage Nepple AG,2019,Bühnentänzer/in (Zeitgenössischer Tanz) EFZ,Lausen (BL)
45,2,Garage Kolly G. SA,2019,Büroassistent/in EBA,Le Mouret (FR)
46,1,Voyages Buchard SA,2019,Carrosserielackierer/in EFZ,Leytron (VS (fr))
47,1,Mercedes-Benz Automobil AG,2019,Carrosseriespengler/in EFZ,Luzern (LU)
48,1,Verkehrsbetriebe Luzern AG,2019,Chemie- und Pharmapraktiker/in EBA,Luzern (LU)
49,1,Greag AG,2019,Chemie- und Pharmatechnologe/-login EFZ,Märstetten (TG)
50,1,NFA,2019,Coiffeur/-euse EBA,Montlingen (SG)
51,1,Nater AG ServiceCenters,2019,Coiffeur/-euse EFZ,Müllheim Dorf (TG)
52,1,Volvo Group (Schweiz) AG,2019,Dachdecker/in EFZ,Münchenbuchsee (BE)
53,1,IVECO (Schweiz) AG,2019,Dachdeckerpraktiker/in EBA,Muttenz (BL)
54,1,Stüssi Nutzfahrzeuge AG,2019,Dekorationsnäher/in EBA,Näfels (GL)
55,2,Larag AG Neftenbach,2019,Dentalassistent/in EFZ,Neftenbach (ZH)
56,1,Altherr Nutzfahrzeuge-AG,2019,Detailhandelsassistent/in EBA,Nesslau (SG)
57,2,Mercedes-Benz Automobil AG,2019,Detailhandelsassistent/in (Autoteile-Logistik) EBA,Neuendorf (SO)
58,1,Hans Näf AG,2019,"Detailhandelsassistent/in (Bäckerei, Konditorei, Confiserie) EBA",Neukirch (Egnach) (TG)
59,1,Traveco Transporte AG,2019,Detailhandelsassistent/in (Consumer-Electronics) EBA,Oberbuchsiten (SO)
60,2,MAN Truck & Bus Schweiz AG,2019,Detailhandelsassistent/in (Do-it-yourself) EBA,Otelfingen (ZH)
61,1,Hächler AG Nutzfahrzeuge,2019,Detailhandelsassistent/in (Eisenwaren) EBA,Othmarsingen (AG)
62,1,Centre logistique de l'armée Grolley (Site de Payerne),2018,Detailhandelsassistent/in (Elektrofach) EBA,Payerne (VD)
63,2,Kestenholz Automobil AG,2019,Detailhandelsassistent/in (Farben) EBA,Pratteln (BL)
64,1,Indermühle Nutzfahrzeuge AG,2019,Detailhandelsassistent/in (Fleischwirtschaft) EBA,Rekingen AG (AG)
65,3,Transports publics de la région lausannoise SA,2018,Detailhandelsassistent/in (Flower) EBA,Renens VD (VD)
66,1,KOLLY Longet SA,2018,Detailhandelsassistent/in (Garden) EBA,Rennaz (VD)
67,1,Cooltrans AG,2019,Detailhandelsassistent/in (Haushalt) EBA,Rothenburg (LU)
68,1,easytrucks AG,2019,Detailhandelsassistent/in (Kiosk) EBA,Rothrist (AG)
69,1,Rottal Auto AG,2019,Detailhandelsassistent/in (Landi) EBA,Ruswil (LU)
70,1,Scania Schweiz AG,2019,Detailhandelsassistent/in (Lederwaren und Reiseartikel) EBA,Schaffhausen (SH)
71,1,Mercedes-Benz Automobil AG,2019,Detailhandelsassistent/in (Möbel) EBA,Schlieren (ZH)
72,4,Thomann Nutzfahrzeuge AG,2019,Detailhandelsassistent/in (Musikinstrumente) EBA,Schmerikon (SG)
73,1,Wisler Nutzfahrzeuge AG,2019,Detailhandelsassistent/in (Nahrungs- und Genussmittel) EBA,Schönenwerd (SO)
74,1,Auto AG Schwyz,2019,Detailhandelsassistent/in (Öffentlicher Verkehr) EBA,Schwyz (SZ)
75,1,H. Kiener AG,2019,Detailhandelsassistent/in (Papeterie) EBA,Seewen SZ (SZ)
76,1,Scania Schweiz AG,2019,Detailhandelsassistent/in (Parfumerie) EBA,Seuzach (ZH)
77,1,Fürk AG,2019,Detailhandelsassistent/in (Post) EBA,St. Gallen (SG)
78,1,LARAG AG,2019,Detailhandelsassistent/in (Schuhe) EBA,St. Gallen (SG)
79,1,Scania Schweiz AG,2019,Detailhandelsassistent/in (Spielwaren) EBA,St. Gallen (SG)
80,1,Nater AG ServiceCenters,2019,Detailhandelsassistent/in (Sportartikel) EBA,Staad SG (SG)
81,1,Brunner Nutzfahrzeuge AG,2019,Detailhandelsassistent/in (Teppich und Bodenbeläge) EBA,Stans (NW)
82,1,Garage poids lourds RECAM S.A.,2019,Detailhandelsassistent/in (Textil) EBA,St-Blaise (NE)
83,1,Grund AG Fahrzeuge,2019,"Detailhandelsassistent/in (Uhren, Schmuck, Edelsteine) EBA",Triengen (LU)
84,1,Betriebsgarage,2019,Detailhandelsassistent/in (Zoofachhandel) EBA,Urtenen-Schönbühl (BE)
85,1,Busbetrieb Olten Gösgen Gäu AG,2019,"Detailhandelsfachmann/-frau EFZ, Schwerpunkt Beratung",Wangen b. Olten (SO)
86,1,Alfag Weinfelden AG,2019,Detailhandelsfachmann/-frau Beratung (Autoteile-Logistik) EFZ,Weinfelden (TG)
87,1,Auto AG Limmattal,2019,Detailhandelsfachmann/-frau Beratung (Bäckerei/Konditorei/Confiserie) EFZ,Weiningen ZH (ZH)
88,2,LARAG AG,2019,Detailhandelsfachmann/-frau Beratung (Consumer-Electronics) EFZ,Wil SG (SG)
89,1,BUS Ostschweiz AG,2019,Detailhandelsfachmann/-frau Beratung (Do-it-yourself) EFZ,Wil SG 1 (SG)
90,1,Gebr. Knecht AG,2019,Detailhandelsfachmann/-frau Beratung (Eisenwaren) EFZ,Windisch (AG)
91,1,Stadt Winterthur,2019,Detailhandelsfachmann/-frau Beratung (Elektrofach) EFZ,Winterthur (ZH)
92,1,WIRAG AG,2019,Detailhandelsfachmann/-frau Beratung (Farben) EFZ,Winterthur (ZH)
93,1,Interbus SA,2018,Detailhandelsfachmann/-frau Beratung (Fleischwirtschaft) EFZ,Yverdon-les-Bains (VD)
94,1,Amt für Verkehr und Tiefbau,2019,Detailhandelsfachmann/-frau Beratung (Flower) EFZ,Zuchwil (SO)
95,1,Flughafen Zürich AG,2019,Detailhandelsfachmann/-frau Beratung (Garden) EFZ,Zürich (ZH)
96,1,City-Garage GmbH,2019,Detailhandelsfachmann/-frau Beratung (Haushalt) EFZ,Aarau (AG)
97,1,Garage Hans Küng GmbH,2019,Detailhandelsfachmann/-frau Beratung (Kiosk) EFZ,Aarau Rohr (AG)
98,1,Mercedes-Benz Automobil AG,2019,Detailhandelsfachmann/-frau Beratung (Landi) EFZ,Aarau Rohr (AG)
99,1,Ernst Ruckstuhl Automobile AG,2019,Detailhandelsfachmann/-frau Beratung (Lederwaren und Reiseartikel) EFZ,Adliswil (ZH)
100,1,Sulzer Auto AG Adliswil,2019,Detailhandelsfachmann/-frau Beratung (Möbel) EFZ,Adliswil (ZH)
101,1,Ulrich Füglistaler AG,2019,Detailhandelsfachmann/-frau Beratung (Musikinstrumente) EFZ,Adliswil (ZH)
102,2,hoffmann automobile ag,2019,Detailhandelsfachmann/-frau Beratung (Nahrungs- und Genussmittel) EFZ,Aesch BL (BL)
